Days,Aug,Oct
1,81,81
2,77,77
3,111,112
4,111,113
5,100,104
6,120,123
7,80,84
8,89,97
9,83,88
10,84,89
11,78,84
12,60,63
13,40,43
14,45,46
15,36,39
16,26,29
17,20,20
18,14,15
19,10,11
20,8,8
21,3,3
22,8,9
23,3,3
24,3,3
